name,description,email,web-site,fax,phone,phone2,schedules,verification
,"NEUTRE SERVICE est l’une des meilleures Société de Nettoyage  à Casablanca  et partout au Maroc, spécialiste et reconnu dans le domaine de nettoyage professionnel et désinfection.
 NEUTRE SERVICE  sur Casablanca attache une grande importance à l’image de vos locaux et un vrai savoir-faire dans le secteur de nettoyage à Casablanca pour cela nous vous offrons des services de qualité et des prix attractifs, par un nombre de sites partout au Maroc.
NEUTRE SERVICE est spécialisée dans le nettoyage et l’entretien d’immeubles industriels, Pour exécuter tous les travaux de nettoyage (femme ménage, nettoyage vitres, nettoyage moquettes, parquet, bureau, fin de chantier, villa, appartement, résidences, immeubles ,hôtels, centres d’appel…) nous possédons un large parc matériel aux normes de sécurité qui contribuent à des prestations de qualité, exécutées par des agents de nettoyage formés aux nouvelles méthodologies, ainsi qu’aux règles d’hygiène et de sécurité, des locaux commerciaux et le nettoyage des bureaux.
NOS PRINCIPE SERVICES :
-SERVICES DE NETTOYAGE
-RÉNOVATION ET CRISTALLISATION DES SOLS EN MARBRE ET MOSAÏQUE 
-GARDIENNAGE ET SURVEILLANCE
-FOURNITURES COMMERCIAL ET INDUSTRIEL
-PRODUITS DE NETTOYAGE
-TRAVAUX DE REVÊTEMENT DE SOL ET MUR
-DÉRATISATION ET DÉSINSECTISATION  ET DÉSINFECTION DES SITES 
-GESTION IMMOBILIÈRE 

NEUTRE SERVICE c’est la société qui  met son expertise et ses compétences au service de tous vos projets depuis le renouvellement et le développement de l'immobilier et transforme votre maison et améliore votre espace de vie afin de créer un environnement sûr et confortable.
NEUTRE SERVICE  Respecte des délais de travail et nos coûts sont bien étudiés  et justifiants la qualité de  nos services.",neutreservice@gmail.com,http://www.neutreservice.com,+212522976038,+212522976038,+212684574587,du : 09:00  a 17:00,Vérifié
                          ,"AMANDUS est une entreprise dynamique, spécialisée dans la sécurité et protection incendie, l’extinction, RIA et aussi la vidéosurveillance.

AMANDUS œuvre dans l’étude, la conception, la réalisation. Et aussi la Maintenance des installations de sécurité et protection incendie et de vidéosurveillance.

Nous mettons à votre disposition notre savoir faire dans ce domaine qui touche le tertiaire et l’industrielle. A savoir : Les études, la conception, la réalisation et la maintenance.

Nous nous somme assignés comme objectif de satisfaire nos clients à travers la qualité de nos prestations. En plus, on vous rassure par le dévouement à notre métier.

Notre patrimoine professionnel se résume dans les diverses réalisations, qui ont consolidé notre expérience et qui ont fait une liaison solide avec nos partenaires. C’est ce qui constituent notre force et notre réputation.",contact.amandus@gmail.com,https://amandus.ma/,0522355852,,,08H30 : 18:00,
opticki,,opticki@gmail.com,,0666663707,,0666663707,09h00/20h00,Vérifié
Afoulki design,"Nous utilisons les dernières technologies du web, les meilleures solutions innovatrices et créatives : Sites autogérés, sites catalogues, sites vitrines, sites E-commerces et bien sûr des présentations corporatives des plus professionnelles.

Notre objectif est de réaliser des sites en lignes riches en communication, capables de conquérir et de maintenir l’intérêt d’une cible diversifiée.",info@afoulki.com,http://www.afoulki.com,0528225500,,0663 13 20 21,Du lundi au vendredi de 08H:30 à 18H:30 et samedi de 08H:30 à 12H:30,Vérifié
Excursion Maroc,,excursionmaroc.kech@gmail.com,http://www.excursionmaroc.ma/,00 212 5 24 42 13 57,00 212 5 24 42 13 57,,,Vérifié
Heberdomaine.com,"Heberdomaine.com Sarl est un prestataire de services web présent sur le marché depuis 2004.
C'est un véritable outil de croissance pour votre entreprise qui vous permet de communiquer avec vos consommateurs ou fournisseurs.
Un site web vous permet également de faciliter l'amélioration de la fiabilité de votre entreprise et vos permettera d'augmenter votre chiffre d'affaires ...
En matière du codage des pages web, nous respectons les normes du W3C de sorte à approvisionner et à améliorer l'accessibilité de votre site web sur différents navigateurs web (FireFox, Internet Explorer, Google Chrome, Opera, Safari, ...) et sous différents systèmes d'exploitation (Windows, Linux, Mac OS...).",commercial@heberdomaine.com,http://www.hebedomaine.com,0528225500,,0663 13 20 21,Du lundi au vendredi de 08H:30 à 18H:30 et samedi de 08H:30 à 12H:30,Vérifié
SARL,,facetoursmaroc@gmail.com,http://www.facetoursmorocco.com,212642963259,,,Du Lundi A Vendredi: Du 09h00 Au 18h00 Et Samedi:Du 09h00 Au 14h00,Vérifié
GEOAP,,contact.geoap@gmail.com,http://WWW.GEO-AP.COM,0618142278,,,,Vérifié
ECO-VERT ENVIRONNEMENT,,adm.ecovert@gmail.com,https://www.eco-vertma.com/,0661107003,,,Lundi à vendredi 08:00-18:00,
WORDTRA Agence de Traduction Multilingue,"WORDTRA, Agence de Traduction Multilingue Globale, Créée en 2000 et Basée au Maroc, Est Leader des Solutions Linguistiques Clés en Main : la Traduction, l'Interprétariat, la Relocalisation, l'Evénementiel et la Communication Multilingue Internationale.

Nos Œuvres au Maroc et à l'International :
La Traduction Générale, Technique, Publicitaire, Artistique, Médicale, Scientifique, Économique, Financière, d'Affaires, Littéraire et Culturelle...Etc.
La Traduction Officielle: Assermentée et Certifiée Accréditée des Documents Officiels destinés aux Tribunaux, Consulats, Ambassades, Administrations, Organisations, Organismes, Associations ...Etc au Maroc et à l'International.
La Traduction Digitale et la Communication Multilingue.
La Traduction Audiovisuelle et le Sous-titrage.
L'Interprétation Consécutive et d'Affaires.
L'Interprétation de Conférence.
L'Evénementiel et les Relations Publiques.",wordtra@hotmail.com,http://www.wordtra.com,0663393219,,0663393219,Toujours Ouvert,Non Vérifié
CENTRE D'HYGIENE PROFESSIONNELLE,,chp.maroc@gmail.com,https://chpmaroc.com/,0660702049,,,Du Lundi au Samedi,Vérifié
L-EXPERT-COMPTABLE.MA,"LEC.ma est un cabinet d’expertise, d’audit et de conseil indépendant qui intervient essentiellement auprès d'investisseurs financiers, de fonds d’investissement et de dirigeants d'entreprises soutenues ou non par un fonds.

Les domaines de prédilection de LEC.ma recouvrent l’administration de véhicules d’investissement et l'externalisation de Direction Financière (sociétés de gestion, opérationnelles et holding d’investissement), les évaluations d’entreprises non cotées ainsi que la réalisation d’audits d’acquisition (due diligences comptables, juridiques, fiscales, sociales).

LEC.ma accompagne également les dirigeants d’entreprise dans le cadre de transaction (ouverture de capital, adossement / sortie de groupe, recherche d'un sponsor financier, etc.).

Les interventions de LEC.ma se réalisent selon un cahier des charges prédéfini (lettre de mission, planning d’intervention, délais, budget, etc.).

#expert #audit #fiscal #juridique #comptable #social #maroc #impôt #taxes 

LEC.ma/contact",Najeddineyou@gmail.com,http://Lec.ma,0661281242,,0661281242,9:00 - 19:00,Vérifié
Convoy Car,,Convoy.rent.cars@gmail.com,https://convoycar.business.site/,+212536604008,,+212661934075,7j/7j,Vérifié
MOMARASSA,"conseil, formation, accompagnement et coaching; - conseil, formation, accompagnement et coaching auprès des particuliers, des entreprises, des collectivités et autres organismes publics ou privés; - conseil en stratégie, organisation, management, gestion, systèmes d'information, ressources humaines, marketing, communication et autre …, de la conception à la mise en oeuvre. - coaching personnalisé - services de formation ainsi que toute opération ou prestation se rattachant directement ou indirectement à l'objet social. la prise de participation dans toutes les sociétés dont les activités seraient similaires à celles de la présente ou de nature à en favoriser le développement; et plus généralement, toutes opérations financières, mobilières, industrielles, commerciales ou immobilières pouvant se rattacher directement ou indirectement à l'objet social ou à tous objets similaires ou connexes",infos@momarassa.ma,https://momarassa.ma,0664 80 50 82,,,,Vérifié
AQUALYSS SARL,,contact@aqualyss.net,http://www.aqualyss.net,0669116666,,0669116666,09:00-17:30,Vérifié
AQUALYSS SARL,,contact@aqualyss.net,,0669116666,,0669116666,09:00-17:30,Vérifié
Lagence,"Agence immobilière spécialisée dans toute transactions immobilière (Achat, Vente, Location, évaluation) de tout types de biens (Villas, Appartements...). Une équipe d’experts en immobilier, avec une expertise de plus de 15 ans en immobilier, l’Agence avec le savoir et le savoir-faire de son équipe, vous accompagne dans toutes les phases de vos projets immobiliers.Nos conseillers immobiliers vous accompagnent pour la prise de décision en respectant toutes vos contraintes surtout la plus importante",contact@lagence.co.ma,https://lagence.co.ma/,0522061718,,0668840446,,Vérifié
